date,city,model,category_accuracy,mae,rmse,r2
2026-05-10,Angul,lr,0.5578747628083491,42.66363531834394,53.373643380933565,0.2497974896857736
2026-05-10,Angul,xgb,0.5578747628083491,45.17369624447325,55.55342516365042,0.1872696176837225
2026-05-10,Balasore,lr,0.6242884250474383,23.88846511510357,29.393302850080914,0.2721345648094697
2026-05-10,Balasore,xgb,0.6242884250474383,23.57018653681428,29.643255249333507,0.2597028036764471
2026-05-10,Berhampur,lr,0.6717267552182163,17.542122451070924,21.61818382775028,0.2550856603464204
2026-05-10,Berhampur,xgb,0.6717267552182163,17.70965993341956,21.98968162986928,0.2292637123966214
2026-05-10,Bhubaneswar,lr,0.6850094876660342,26.26506095158983,32.48476711522447,0.2470969660571571
2026-05-10,Bhubaneswar,xgb,0.6850094876660342,26.280127816245493,32.365075527203814,0.2526349550421942
2026-05-10,Cuttack,lr,0.7115749525616698,28.54833076608129,35.34391022330979,0.2387059325719157
2026-05-10,Cuttack,xgb,0.7115749525616698,27.97137484700675,35.03641723937405,0.2518948682066757
2026-05-10,Jharsuguda,lr,0.5426944971537002,45.82958697222521,56.53063103867349,0.2757148861380089
2026-05-10,Jharsuguda,xgb,0.5426944971537002,46.23418962800751,56.898799762730775,0.2662500186591008
2026-05-10,Rayagada,lr,0.7571157495256167,13.262148789235075,16.508046530160673,0.296245645526441
2026-05-10,Rayagada,xgb,0.7571157495256167,13.544551120591573,16.897966019589507,0.2626077118837464
2026-05-10,Rourkela,lr,0.571157495256167,39.49997313919596,48.0512326527451,0.3145391972967494
2026-05-10,Rourkela,xgb,0.571157495256167,39.58600269122187,48.574904655988966,0.2995172050365637
2026-05-10,Sambalpur,lr,0.5977229601518027,38.14478184573623,47.06335611509413,0.2860337889262673
2026-05-10,Sambalpur,xgb,0.5977229601518027,38.18131363465166,47.70284428502469,0.2664994888683815
2026-05-10,Talcher,lr,0.5256166982922201,49.84750358266754,62.76309444990653,0.1874791631872604
2026-05-10,Talcher,xgb,0.5256166982922201,50.62533530305866,63.63163406031557,0.1648356190730211
